X,Y,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Activities,Unique Squirrel ID
-73.96938423,40.7714288,41B,AM,10/15/2018,2,Adult,Gray,Cinnamon,"Gray+Black, Cinnamon, White",Partial missing tail,Ground Plane,FALSE,walking along path,false,false,false,false,true,false,false,false,false,false,false,true,false,standing upright,41B-AM-981253-28
-73.95127115,40.78398984,38E,AM,10/10/2018,25,Adult,Gray,White,Gray+,"Off-white, decorator's white?",Ground Plane,FALSE,on tree trunk (descending from height of ~10 ft),false,false,false,false,false,false,false,false,false,true,false,false,false,running (from a dog),38E-AM-156733-18
-73.95814702,40.79564521,21E,PM,10/10/2018,29,Adult,Gray,Cinnamon,Gray+Cinnamon,Cinnamon head & stripe,Ground Plane,FALSE,Under the tree,false,false,false,false,true,false,false,false,false,false,false,true,false,burying,21E-PM-764536-24
-73.96233867,40.79069073,38E,AM,10/16/2018,13,Adult,Gray,White,Gray+Cinnamon,Partial missing tail,Above Ground,6,under bushes,false,false,true,true,false,false,false,false,false,false,false,false,false,did not notice dog sitting a few yards away (10-20 ft),38E-AM-190909-20
-73.97625385,40.79330795,07G,AM,10/12/2018,6,Juvenile,Gray,Cinnamon,Gray+Cinnamon,Gray & Cinnamon selected as Primary. White selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,Rock,true,false,false,false,false,false,false,false,false,false,false,false,false,wresting w/ branch,07G-AM-980706-27
-73.97625461,40.78810501,12H,AM,10/09/2018,21,Adult,Gray,Cinnamon,Gray+White,white back legs,Above Ground,3,on a log,true,false,false,false,false,false,false,false,false,false,false,true,false,new movement flailing arms while foraging,12H-AM-182439-19
-73.97933262,40.78928424,09F,AM,10/18/2018,26,Adult,Cinnamon,Cinnamon,Gray+Cinnamon,Cinnamon on the tail,Above Ground,3,on fence,false,false,false,false,true,false,false,false,false,true,false,false,false,jumping,09F-AM-105041-15
-73.95392876,40.79480902,16C,PM,10/09/2018,6,Adult,Gray,White,Gray+Cinnamon,white at end of tail,Above Ground,12,near fence,false,false,false,false,true,false,false,false,false,false,false,false,false,playing with #5,16C-PM-582006-14
-73.96226144,40.77370094,03D,AM,10/14/2018,9,Adult,Gray,White,"Gray+Cinnamon, White",Too far & cloudy to tell,Ground Plane,FALSE,Tree,true,false,false,true,false,false,false,false,false,false,false,false,false,walking,03D-AM-926959-03
-73.95889904,40.78214227,08D,PM,10/11/2018,16,Adult,Gray,Cinnamon,Gray+White,"White legs, front & back",Ground Plane,FALSE,ON ROCK NEAR POND,true,false,true,true,true,false,false,false,false,false,false,false,false,hiding,08D-PM-978780-25
-73.98051147,40.77269898,01B,PM,10/20/2018,11,Juvenile,Gray,White,Cinnamon+Gray,Cinnamon flanks,Above Ground,6,willow oak tree,true,false,true,false,true,true,false,false,false,false,false,true,false,chillin',01B-PM-775150-19
-73.95066771,40.79968434,13E,PM,10/09/2018,7,Adult,Gray,Cinnamon,Gray+,Gray patches on back legs,Ground Plane,FALSE,bottom of great hill,true,false,false,false,false,false,false,false,false,false,false,false,false,"lying on belly on branch,eating big nut",13E-PM-398942-08
-73.95498924,40.79814897,21E,PM,10/07/2018,10,Adult,Gray,White,Gray+White,"COULD HAVE BEEN CHIPPY, DEEP BROWN",Ground Plane,FALSE,Near rock,true,false,false,false,false,false,false,false,false,false,false,false,false,burying nut,21E-PM-749761-25
-73.97448332,40.7662988,08I,PM,10/11/2018,10,Adult,Gray,White,Gray+White,No Primary Fur Color selected. Made executive adjustment based on other squirrels.,Ground Plane,FALSE,Crossing street,false,false,false,false,true,false,false,false,false,false,true,true,false,burying nut,08I-PM-232208-12
-73.97544258,40.78975245,18C,AM,10/07/2018,30,Adult,Gray,White,Gray+Cinnamon,black in tail,Ground Plane,FALSE,near a brush,false,false,true,true,true,false,false,false,false,false,false,false,false,crying out,18C-AM-846834-11
-73.97539293,40.79748667,20B,PM,10/10/2018,25,Adult,Gray,"Cinnamon, White",Gray+Cinnamon,Gray & Cinnamon selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.,Above Ground,6,on tennis club house roof,false,false,false,false,true,false,false,false,false,true,true,true,false,ran away & disappeared,20B-PM-516637-18
-73.97159417,40.77126834,40C,AM,10/11/2018,20,Adult,Gray,Cinnamon,Gray+Cinnamon,Cinnamon on shoulders,Ground Plane,FALSE,building nest,false,false,false,true,true,false,false,false,false,true,false,false,false,watching me,40C-AM-553132-14
-73.96466191,40.7849068,23F,PM,10/09/2018,18,Adult,Black,"Cinnamon, White",Gray+,Cinnamon along back & tail,Ground Plane,FALSE,"Behind fence, tree trunk",false,false,false,false,true,false,false,false,false,false,false,true,false,laying on tree branch,23F-PM-164124-12
-73.96757961,40.79714304,14E,PM,10/19/2018,28,Adult,Gray,White,Gray+,Cinnamon on shoulders,Ground Plane,FALSE,in a tree,false,false,false,false,true,false,false,false,false,false,false,true,false,standing,14E-PM-773998-23
-73.97200326,40.76610583,13A,AM,10/18/2018,24,Adult,Gray,White,Gray+,"unknown - cannot see, only hear",Ground Plane,FALSE,on a checker table,false,false,false,false,false,false,false,false,false,true,true,false,false,running from squirrel #5,13A-AM-297556-08
-73.96192388,40.78946534,20A,PM,10/08/2018,20,Adult,Gray,White,Gray+White,White belly,Ground Plane,FALSE,tree,false,false,false,false,false,true,false,false,false,false,false,true,false,was chased by # 11,20A-PM-124193-08
-73.97677334,40.77537969,41E,PM,10/12/2018,29,Adult,Gray,Cinnamon,Gray+White,white back legs,Ground Plane,FALSE,rocks,false,false,false,true,true,false,false,false,false,false,false,true,true,jumping on fence,41E-PM-371382-28
-73.97197448,40.79745667,30E,AM,10/07/2018,9,Adult,Gray,White,+,white on tail,Above Ground,8,building nest,false,true,true,false,true,false,false,false,false,false,false,true,false,sitting,30E-AM-120410-05
-73.96964133,40.79909954,13D,PM,10/18/2018,15,Adult,Gray,White,"Gray+Cinnamon, White","Gray lower back, Gray & Cinnamon selected as Primary with ""lower back"" written in next to Gray. White selected as Highlights. Made executive adjustments.",Ground Plane,FALSE,"5, 6, 7 all at same tree trunk base",false,false,true,false,false,false,false,false,false,false,false,false,true,being chased by dog,13D-PM-966593-10
-73.96682119,40.79815626,15I,PM,10/16/2018,4,Adult,Gray,Cinnamon,Gray+,Gray & Cinnamon selected as Primary. Cinnamon selected as Highlights. Made executive adjustments.,Above Ground,7,"5, 6, 7 all at same tree trunk base",false,false,false,false,true,false,false,false,false,true,false,false,false,chasing (#6),15I-PM-172858-23
-73.95647515,40.78160673,05E,PM,10/19/2018,8,Adult,Gray,Cinnamon,Black+,Gray & Cinnamon selected as Primary. Gray selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,Clearing near bike path (bikes active),false,false,false,false,false,false,false,false,false,false,false,true,false,nest building,05E-PM-340899-04
-73.97488147,40.79526134,02D,AM,10/11/2018,9,Adult,Gray,Cinnamon,Cinnamon+White,white neck and belly,Ground Plane,FALSE,by tree,false,false,false,false,false,false,false,false,false,false,false,true,false,chasing #4,02D-AM-299879-06
-73.96499269,40.79464544,34F,AM,10/18/2018,13,Adult,Gray,Gray,Gray+Cinnamon,white belly,Ground Plane,FALSE,close to tall tree & light post,true,false,false,false,false,false,false,false,false,false,true,true,false,begging (came one yard away from me and stood there),34F-AM-156536-27
