X,Y,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Activities,Unique Squirrel ID
-73.96938423,40.7714288,36C,AM,10/16/2018,12,?,Gray,Black,Gray+White,Short tail,Ground Plane,FALSE,Running down tree,false,false,true,true,true,false,true,false,false,true,false,false,false,jumping between branches,36C-AM-835712-25
-73.95127115,40.78398984,06A,PM,10/15/2018,1,Juvenile,Black,"Gray, Black","Gray+Black, Cinnamon","Gray, Black, & Cinnamon selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.",Above Ground,12,in grass by light post,true,true,false,true,false,true,false,true,true,false,true,true,true,laid down on the branch,06A-PM-390530-29
-73.95814702,40.79564521,36C,AM,10/17/2018,23,Adult,Black,"Gray, Black",Gray+,Cinnamon head,Ground Plane,FALSE,lawn moving east over Park path,false,true,true,true,true,true,false,true,false,true,false,true,true,walking on branch,36C-AM-690940-20
-73.96233867,40.79069073,31I,PM,10/14/2018,22,Juvenile,Black,"Cinnamon, White",Black+,"Gray & Cinnamon selected as Primary: ""much browner, like 1/2 & 1/2"".",Above Ground,7,Ground then up tree,false,true,false,false,true,false,false,true,false,false,true,true,true,hopping around grass,31I-PM-984555-05
-73.97625385,40.79330795,39A,AM,10/11/2018,8,Adult,Cinnamon,"Black, Cinnamon","Cinnamon+Gray, Black",vid!,Above Ground,20,Fence,false,false,false,true,false,false,false,false,false,false,true,false,true,playing w/ #8,39A-AM-999915-29
-73.97625461,40.78810501,25B,AM,10/17/2018,5,Juvenile,Black,"Black, Cinnamon, White","Cinnamon+Gray, White",Cinnamon & White selected as Primary. Cinnamon & White selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,in grass,false,false,false,true,true,true,false,true,false,true,false,true,true,playing w/ #6,25B-AM-236659-05
-73.97933262,40.78928424,12G,AM,10/14/2018,15,Juvenile,Gray,Gray,+,Cinnamon back. Gray & Cinnamon selected as Primary. White selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,on tree trunk,true,true,true,true,false,true,false,false,false,true,true,false,false,small jumps,12G-AM-836699-01
-73.95392876,40.79480902,18G,AM,10/13/2018,1,?,Black,"Black, Cinnamon, White","Cinnamon+Gray, Black",Beautiful white puff at the end of its tail,Ground Plane,FALSE,on a checker table,true,true,false,true,true,true,true,false,true,false,true,false,true,pulling things off branches,18G-AM-935471-09
-73.96226144,40.77370094,40C,AM,10/13/2018,1,Juvenile,Gray,"Gray, Black",Gray+Black,Cinnamon head,Ground Plane,FALSE,lower branch of tree,true,true,true,false,false,true,false,true,false,true,true,true,false,for food,40C-AM-462793-29
-73.95889904,40.78214227,18I,AM,10/06/2018,25,Juvenile,Black,"Black, Cinnamon, White",Gray+,"unknown - cannot see, only hear",Above Ground,12,"Behind fence, tree trunk",true,true,true,false,true,true,false,false,false,false,false,true,true,climbing fence!,18I-AM-816748-16
