SimTicketID,Time,Level,State,Technician
1,76.93467532691183,,Arrived,
1,76.93467532691183,1.0,Waiting for L1,
1,76.93467532691183,1.0,In service at L1,L1-Tech-1
1,136.93467532691182,1.0,Finished L1,L1-Tech-1
1,136.93467532691182,,Completed,
2,153.247027322888,,Arrived,
2,153.247027322888,1.0,Waiting for L1,
2,153.247027322888,1.0,In service at L1,L1-Tech-2
3,162.20044459813866,,Arrived,
3,162.20044459813866,1.0,Waiting for L1,
3,162.20044459813866,1.0,In service at L1,L1-Tech-3
2,181.247027322888,1.0,Finished L1,L1-Tech-2
2,181.247027322888,2.0,Waiting for L2,
2,181.247027322888,2.0,In service at L2,L2-Tech-1
3,200.20044459813866,1.0,Finished L1,L1-Tech-3
3,200.20044459813866,2.0,Waiting for L2,
3,200.20044459813866,2.0,In service at L2,L2-Tech-2
4,208.68558110073548,,Arrived,
4,208.68558110073548,1.0,Waiting for L1,
4,208.68558110073548,1.0,In service at L1,L1-Tech-1
4,230.68558110073548,1.0,Finished L1,L1-Tech-1
4,230.68558110073548,,Completed,
5,253.80432331697784,,Arrived,
5,253.80432331697784,1.0,Waiting for L1,
5,253.80432331697784,1.0,In service at L1,L1-Tech-2
6,256.34173762685015,,Arrived,
6,256.34173762685015,1.0,Waiting for L1,
6,256.34173762685015,1.0,In service at L1,L1-Tech-3
2,257.247027322888,2.0,Finished L2,L2-Tech-1
2,257.247027322888,3.0,Waiting for L3,
2,257.247027322888,3.0,In service at L3,L3-Tech-1
5,261.80432331697784,1.0,Finished L1,L1-Tech-2
5,261.80432331697784,2.0,Waiting for L2,
5,261.80432331697784,2.0,In service at L2,L2-Tech-1
7,289.8316847162314,,Arrived,
7,289.8316847162314,1.0,Waiting for L1,
7,289.8316847162314,1.0,In service at L1,L1-Tech-1
2,299.247027322888,3.0,Finished L3,L3-Tech-1
2,299.247027322888,,Completed,
3,320.2004445981387,2.0,Finished L2,L2-Tech-2
3,320.2004445981387,3.0,Waiting for L3,
3,320.2004445981387,3.0,In service at L3,L3-Tech-1
8,324.6804408129981,,Arrived,
8,324.6804408129981,1.0,Waiting for L1,
8,324.6804408129981,1.0,In service at L1,L1-Tech-2
6,329.34173762685015,1.0,Finished L1,L1-Tech-3
6,329.34173762685015,2.0,Waiting for L2,
6,329.34173762685015,2.0,In service at L2,L2-Tech-2
8,343.6804408129981,1.0,Finished L1,L1-Tech-2
8,343.6804408129981,2.0,Waiting for L2,
5,353.80432331697784,2.0,Finished L2,L2-Tech-1
8,353.80432331697784,2.0,In service at L2,L2-Tech-1
5,353.80432331697784,,Completed,
7,370.8316847162314,1.0,Finished L1,L1-Tech-1
7,370.8316847162314,2.0,Waiting for L2,
9,380.08291610527993,,Arrived,
9,380.08291610527993,1.0,Waiting for L1,
9,380.08291610527993,1.0,In service at L1,L1-Tech-3
10,419.49365731045026,,Arrived,
10,419.49365731045026,1.0,Waiting for L1,
10,419.49365731045026,1.0,In service at L1,L1-Tech-2
6,420.34173762685015,2.0,Finished L2,L2-Tech-2
7,420.34173762685015,2.0,In service at L2,L2-Tech-2
6,420.34173762685015,,Completed,
11,424.4144014328895,,Arrived,
11,424.4144014328895,1.0,Waiting for L1,
11,424.4144014328895,1.0,In service at L1,L1-Tech-1
11,429.4144014328895,1.0,Finished L1,L1-Tech-1
11,429.4144014328895,2.0,Waiting for L2,
3,433.2004445981387,3.0,Finished L3,L3-Tech-1
3,433.2004445981387,,Completed,
12,434.5001359011261,,Arrived,
12,434.5001359011261,1.0,Waiting for L1,
12,434.5001359011261,1.0,In service at L1,L1-Tech-1
8,435.80432331697784,2.0,Finished L2,L2-Tech-1
11,435.80432331697784,2.0,In service at L2,L2-Tech-1
8,435.80432331697784,,Completed,
13,463.3385127129712,,Arrived,
13,463.3385127129712,1.0,Waiting for L1,
7,466.34173762685015,2.0,Finished L2,L2-Tech-2
7,466.34173762685015,,Completed,
10,466.49365731045026,1.0,Finished L1,L1-Tech-2
13,466.49365731045026,1.0,In service at L1,L1-Tech-2
10,466.49365731045026,,Completed,
9,479.08291610527993,1.0,Finished L1,L1-Tech-3
9,479.08291610527993,2.0,Waiting for L2,
9,479.08291610527993,2.0,In service at L2,L2-Tech-2
12,486.5001359011261,1.0,Finished L1,L1-Tech-1
12,486.5001359011261,,Completed,
14,503.25486310700717,,Arrived,
14,503.25486310700717,1.0,Waiting for L1,
14,503.25486310700717,1.0,In service at L1,L1-Tech-3
15,510.40930701780144,,Arrived,
15,510.40930701780144,1.0,Waiting for L1,
15,510.40930701780144,1.0,In service at L1,L1-Tech-1
9,518.08291610528,2.0,Finished L2,L2-Tech-2
9,518.08291610528,3.0,Waiting for L3,
9,518.08291610528,3.0,In service at L3,L3-Tech-1
15,533.4093070178014,1.0,Finished L1,L1-Tech-1
15,533.4093070178014,2.0,Waiting for L2,
15,533.4093070178014,2.0,In service at L2,L2-Tech-2
11,546.8043233169778,2.0,Finished L2,L2-Tech-1
11,546.8043233169778,,Completed,
14,547.2548631070072,1.0,Finished L1,L1-Tech-3
14,547.2548631070072,,Completed,
16,549.6760546406578,,Arrived,
16,549.6760546406578,1.0,Waiting for L1,
16,549.6760546406578,1.0,In service at L1,L1-Tech-1
15,552.4093070178014,2.0,Finished L2,L2-Tech-2
15,552.4093070178014,,Completed,
17,570.6615315674737,,Arrived,
17,570.6615315674737,1.0,Waiting for L1,
17,570.6615315674737,1.0,In service at L1,L1-Tech-3
13,584.4936573104503,1.0,Finished L1,L1-Tech-2
13,584.4936573104503,,Completed,
18,585.1677616250182,,Arrived,
18,585.1677616250182,1.0,Waiting for L1,
18,585.1677616250182,1.0,In service at L1,L1-Tech-2
19,587.6342303307991,,Arrived,
19,587.6342303307991,1.0,Waiting for L1,
20,609.5644847821352,,Arrived,
20,609.5644847821352,1.0,Waiting for L1,
16,612.6760546406578,1.0,Finished L1,L1-Tech-1
19,612.6760546406578,1.0,In service at L1,L1-Tech-1
16,612.6760546406578,,Completed,
21,622.0022523392495,,Arrived,
21,622.0022523392495,1.0,Waiting for L1,
9,628.08291610528,3.0,Finished L3,L3-Tech-1
9,628.08291610528,,Completed,
18,634.1677616250182,1.0,Finished L1,L1-Tech-2
20,634.1677616250182,1.0,In service at L1,L1-Tech-2
18,634.1677616250182,2.0,Waiting for L2,
18,634.1677616250182,2.0,In service at L2,L2-Tech-1
17,638.6615315674737,1.0,Finished L1,L1-Tech-3
21,638.6615315674737,1.0,In service at L1,L1-Tech-3
17,638.6615315674737,,Completed,
22,644.6739524165655,,Arrived,
22,644.6739524165655,1.0,Waiting for L1,
23,652.2877109541021,,Arrived,
23,652.2877109541021,1.0,Waiting for L1,
19,657.6760546406578,1.0,Finished L1,L1-Tech-1
22,657.6760546406578,1.0,In service at L1,L1-Tech-1
19,657.6760546406578,2.0,Waiting for L2,
19,657.6760546406578,2.0,In service at L2,L2-Tech-2
21,663.6615315674737,1.0,Finished L1,L1-Tech-3
23,663.6615315674737,1.0,In service at L1,L1-Tech-3
21,663.6615315674737,2.0,Waiting for L2,
24,672.8175265441985,,Arrived,
24,672.8175265441985,1.0,Waiting for L1,
25,683.8201941102078,,Arrived,
25,683.8201941102078,1.0,Waiting for L1,
20,691.1677616250182,1.0,Finished L1,L1-Tech-2
24,691.1677616250182,1.0,In service at L1,L1-Tech-2
20,691.1677616250182,2.0,Waiting for L2,
26,711.9454639403692,,Arrived,
26,711.9454639403692,1.0,Waiting for L1,
22,719.6760546406578,1.0,Finished L1,L1-Tech-1
25,719.6760546406578,1.0,In service at L1,L1-Tech-1
22,719.6760546406578,,Completed,
27,721.4477746260908,,Arrived,
27,721.4477746260908,1.0,Waiting for L1,
18,732.1677616250182,2.0,Finished L2,L2-Tech-1
21,732.1677616250182,2.0,In service at L2,L2-Tech-1
18,732.1677616250182,,Completed,
19,752.6760546406578,2.0,Finished L2,L2-Tech-2
20,752.6760546406578,2.0,In service at L2,L2-Tech-2
19,752.6760546406578,,Completed,
20,764.6760546406578,2.0,Finished L2,L2-Tech-2
20,764.6760546406578,,Completed,
28,765.9554221859598,,Arrived,
28,765.9554221859598,1.0,Waiting for L1,
23,779.6615315674737,1.0,Finished L1,L1-Tech-3
26,779.6615315674737,1.0,In service at L1,L1-Tech-3
23,779.6615315674737,,Completed,
29,800.646075880846,,Arrived,
29,800.646075880846,1.0,Waiting for L1,
24,806.1677616250182,1.0,Finished L1,L1-Tech-2
27,806.1677616250182,1.0,In service at L1,L1-Tech-2
24,806.1677616250182,2.0,Waiting for L2,
24,806.1677616250182,2.0,In service at L2,L2-Tech-2
25,814.6760546406578,1.0,Finished L1,L1-Tech-1
28,814.6760546406578,1.0,In service at L1,L1-Tech-1
25,814.6760546406578,,Completed,
28,836.6760546406578,1.0,Finished L1,L1-Tech-1
29,836.6760546406578,1.0,In service at L1,L1-Tech-1
28,836.6760546406578,2.0,Waiting for L2,
30,836.9362359359741,,Arrived,
30,836.9362359359741,1.0,Waiting for L1,
21,847.1677616250182,2.0,Finished L2,L2-Tech-1
28,847.1677616250182,2.0,In service at L2,L2-Tech-1
21,847.1677616250182,,Completed,
26,856.6615315674737,1.0,Finished L1,L1-Tech-3
30,856.6615315674737,1.0,In service at L1,L1-Tech-3
26,856.6615315674737,2.0,Waiting for L2,
31,880.2750515476596,,Arrived,
31,880.2750515476596,1.0,Waiting for L1,
32,889.2366233952251,,Arrived,
32,889.2366233952251,1.0,Waiting for L1,
30,897.6615315674737,1.0,Finished L1,L1-Tech-3
31,897.6615315674737,1.0,In service at L1,L1-Tech-3
30,897.6615315674737,,Completed,
33,899.5065815083782,,Arrived,
33,899.5065815083782,1.0,Waiting for L1,
24,908.1677616250182,2.0,Finished L2,L2-Tech-2
26,908.1677616250182,2.0,In service at L2,L2-Tech-2
24,908.1677616250182,,Completed,
34,910.8462139145049,,Arrived,
34,910.8462139145049,1.0,Waiting for L1,
35,911.5226861196181,,Arrived,
35,911.5226861196181,1.0,Waiting for L1,
29,914.6760546406578,1.0,Finished L1,L1-Tech-1
32,914.6760546406578,1.0,In service at L1,L1-Tech-1
29,914.6760546406578,,Completed,
28,917.1677616250182,2.0,Finished L2,L2-Tech-1
28,917.1677616250182,,Completed,
27,925.1677616250182,1.0,Finished L1,L1-Tech-2
33,925.1677616250182,1.0,In service at L1,L1-Tech-2
27,925.1677616250182,2.0,Waiting for L2,
27,925.1677616250182,2.0,In service at L2,L2-Tech-1
33,936.1677616250182,1.0,Finished L1,L1-Tech-2
34,936.1677616250182,1.0,In service at L1,L1-Tech-2
33,936.1677616250182,2.0,Waiting for L2,
31,937.6615315674737,1.0,Finished L1,L1-Tech-3
35,937.6615315674737,1.0,In service at L1,L1-Tech-3
31,937.6615315674737,,Completed,
34,941.1677616250182,1.0,Finished L1,L1-Tech-2
34,941.1677616250182,,Completed,
32,951.6760546406578,1.0,Finished L1,L1-Tech-1
32,951.6760546406578,,Completed,
36,953.6045051451272,,Arrived,
36,953.6045051451272,1.0,Waiting for L1,
36,953.6045051451272,1.0,In service at L1,L1-Tech-2
26,983.1677616250182,2.0,Finished L2,L2-Tech-2
33,983.1677616250182,2.0,In service at L2,L2-Tech-2
26,983.1677616250182,3.0,Waiting for L3,
26,983.1677616250182,3.0,In service at L3,L3-Tech-1
26,988.1677616250182,3.0,Finished L3,L3-Tech-1
26,988.1677616250182,,Completed,
35,1010.6615315674737,1.0,Finished L1,L1-Tech-3
35,1010.6615315674737,,Completed,
36,1026.6045051451272,1.0,Finished L1,L1-Tech-2
36,1026.6045051451272,2.0,Waiting for L2,
33,1032.167761625018,2.0,Finished L2,L2-Tech-2
36,1032.167761625018,2.0,In service at L2,L2-Tech-2
33,1032.167761625018,,Completed,
27,1035.167761625018,2.0,Finished L2,L2-Tech-1
27,1035.167761625018,,Completed,
37,1081.468705823042,,Arrived,
37,1081.468705823042,1.0,Waiting for L1,
37,1081.468705823042,1.0,In service at L1,L1-Tech-1
38,1090.5579762742684,,Arrived,
38,1090.5579762742684,1.0,Waiting for L1,
38,1090.5579762742684,1.0,In service at L1,L1-Tech-3
