Religion,<$10k,$10-20k,$20-30k,$30-40k,$40-50k,$50-75k,$75-100k,$100-150k,>$150k,Don't know/refused
Agnostic,27,34,60,81,76,137,102,109,84,96
Atheist,12,27,37,52,39,81,76,59,74,76
Buddhist,27,21,30,34,33,58,62,39,53,54
Catholic,418,617,732,670,638,1116,949,792,792,1163
Evangelical,575,869,1064,982,881,1486,949,723,414,1529
Hindu,9,7,9,11,13,34,47,48,54,37
Historically Black Protestant,228,244,236,238,197,212,156,156,78,339
Jehovah's Witness,20,27,24,24,21,30,15,11,6,37
Jewish,19,19,25,25,30,73,59,87,151,87
Mainline Protestant,289,495,619,655,651,1107,939,792,753,1096
Mormon,34,42,37,48,51,115,87,96,64,100
Muslim,23,23,16,18,14,32,32,35,41,45
Orthodox,13,17,23,17,17,33,33,40,46,46
Unaffiliated,299,388,404,417,363,646,329,634,597,597
