user_id,Dune_Part_Two,Everything_Everywhere_All_at_Once,Top_Gun_Maverick,Oppenheimer,The_Batman,The_Gray_Man,Bullet_Train,Morbius,Madame_Web,Cats
1,5.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,
2,4.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0
3,,4.0,4.0,,3.0,3.0,2.0,,1.0,2.0
4,5.0,,5.0,5.0,5.0,4.0,,3.0,,2.0
5,5.0,5.0,,4.0,4.0,,3.0,2.0,2.0,1.0
6,4.0,3.0,4.0,3.0,,2.0,3.0,1.0,1.0,
7,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,,1.0
8,4.0,,4.0,,3.0,3.0,2.0,,2.0,1.0
9,4.0,4.0,,5.0,4.0,3.0,,1.0,1.0,2.0
10,5.0,5.0,5.0,5.0,,4.0,3.0,2.0,1.0,1.0
